id,ten,eleven,twelve,thirteen,fourteen
60871001001,290,340,331,333,301
60871001002,562,503,477,457,469
60871002001,204,268,339,364,311
60871002002,342,336,243,280,338
60871002003,596,634,642,551,530
60871002004,351,309,354,295,259
60871002005,591,596,577,581,568
60871002006,421,408,389,378,428
60871002007,284,257,238,274,255
60871003001,640,639,596,608,611
60871003002,626,664,728,719,725
60871004001,157,137,127,141,178
60871004002,0,0,0,0,0
60871004003,309,344,339,319,281
60871005001,424,403,465,482,525
60871005002,924,979,906,796,817
60871005003,932,916,951,982,924
60871006001,660,668,774,648,653
60871006002,362,449,422,452,437
60871006003,359,282,226,284,297
60871007001,417,438,407,381,351
60871007002,654,665,702,713,705
60871008001,496,501,513,589,545
60871008002,494,516,533,432,381
60871008003,446,527,527,555,533
60871008004,1003,937,840,870,832
60871008005,589,518,571,491,543
60871008006,274,304,290,226,261
60871009001,447,458,492,451,477
60871009002,847,850,889,926,837
60871009003,227,331,285,339,306
60871009004,470,411,374,297,336
60871009005,389,301,309,330,345
60871010001,876,909,963,831,825
60871010002,349,380,369,322,310
60871010003,328,336,312,293,263
60871010004,330,394,287,275,301
60871010005,234,273,226,238,224
60871010006,892,908,1074,1234,1274
60871010007,646,567,636,589,626
60871011001,693,617,600,421,388
60871011002,390,324,369,420,409
60871011003,250,288,299,294,313
60871011004,762,878,817,803,747
60871011005,416,374,353,422,455
60871012001,510,428,390,366,300
60871012002,350,432,400,355,421
60871012003,530,508,585,625,656
60871101001,473,432,432,398,459
60871101002,295,387,404,377,332
60871101003,609,582,564,505,568
60871101004,1190,1129,1142,1225,1241
60871102001,453,424,550,491,437
60871102002,537,563,451,449,546
60871102003,364,340,304,348,316
60871102004,385,434,462,456,422
60871102005,492,496,459,519,549
60871103001,388,387,416,347,332
60871103002,447,429,360,435,425
60871103003,426,416,495,524,543
60871103004,598,634,567,575,571
60871104001,581,580,546,612,519
60871104002,388,383,366,350,342
60871104003,342,319,333,317,344
60871104004,758,828,853,827,897
60871105011,757,737,758,820,921
60871105012,363,464,578,647,618
60871105013,516,446,440,309,357
60871105014,497,483,376,394,339
60871105021,526,555,570,584,483
60871105022,717,684,664,680,706
60871105023,330,288,282,241,322
60871106001,550,562,567,603,622
60871106002,287,253,305,309,293
60871106003,269,252,303,264,274
60871106004,674,760,762,724,798
60871106005,484,461,415,351,312
60871107001,352,400,387,393,410
60871107002,270,264,293,296,291
60871107003,257,206,206,213,219
60871202001,1149,1188,1252,1292,1275
60871202002,480,500,491,517,543
60871203011,850,855,872,929,1055
60871203012,823,850,773,780,750
60871203013,662,641,701,670,650
60871203021,293,298,262,279,278
60871203022,574,552,545,527,508
60871203023,283,294,314,325,352
60871204001,691,715,699,737,701
60871204002,429,472,421,395,430
60871204003,946,967,945,941,991
60871204004,436,356,449,462,410
60871205001,415,404,359,294,317
60871205002,704,749,734,732,693
60871205003,739,764,731,779,855
60871205004,628,575,646,640,540
60871205005,379,317,325,354,406
60871206001,351,331,316,388,366
60871206002,397,368,379,370,383
60871206003,330,321,381,357,316
60871206004,498,508,523,556,651
60871206005,412,454,416,358,324
60871207001,444,459,542,545,531
60871207002,681,670,645,588,669
60871207003,955,927,888,963,887
60871208001,1109,1105,1106,1080,1023
60871208002,777,747,708,748,855
60871208003,647,618,635,603,576
60871209001,1150,1149,1138,999,1085
60871209002,501,432,519,519,505
60871209003,1057,1072,1002,982,981
60871209004,645,681,673,691,709
60871210001,733,751,797,704,690
60871210002,363,330,322,402,387
60871210003,411,435,417,434,437
60871211001,271,288,320,317,343
60871211002,883,880,883,938,891
60871212001,284,293,268,274,277
60871212002,486,498,567,436,492
60871212003,977,857,897,921,836
60871212004,517,548,456,448,413
60871212005,280,311,332,380,480
60871213001,728,766,748,811,903
60871213002,301,262,250,267,195
60871213003,446,463,455,396,410
60871213004,220,194,241,236,228
60871214011,350,391,377,343,360
60871214012,556,536,546,598,601
60871214021,545,525,541,590,625
60871214022,760,838,847,795,780
60871214023,240,235,261,255,259
60871214031,827,767,711,771,758
60871214032,359,361,408,362,382
60871214033,254,297,294,283,282
60871215001,525,652,598,602,596
60871215002,458,459,513,566,560
60871215003,1022,871,825,787,695
60871215004,548,522,547,560,545
60871215005,228,291,333,388,462
60871216001,333,357,319,367,419
60871216002,464,491,545,558,600
60871216003,1044,1027,1147,1010,1027
60871216004,719,721,618,787,829
60871216005,618,545,555,602,521
60871217001,987,1076,1035,999,1101
60871217002,186,207,186,232,220
60871217003,255,241,258,182,218
60871217004,1343,1268,1217,1124,1066
60871217005,272,272,208,282,265
60871217006,278,303,271,416,386
60871218001,661,749,734,789,698
60871218002,883,840,760,838,903
60871218003,964,948,843,885,873
60871218004,286,294,263,212,209
60871220011,597,578,560,568,541
60871220012,231,212,222,194,238
60871220013,252,317,284,326,317
60871220014,254,241,223,255,244
60871220015,617,617,673,652,674
60871220021,786,881,863,956,971
60871220022,615,513,577,499,493
60871220031,738,634,547,497,475
60871220032,441,443,533,491,498
60871220033,1007,1034,1108,1051,1028
60871220034,341,395,352,389,461
60871220035,267,272,284,351,310
60871221001,593,574,620,689,605
60871221002,666,686,706,705,689
60871221003,579,638,588,561,666
60871222011,470,423,424,474,425
60871222012,969,932,949,888,870
60871222013,503,538,564,594,562
60871222014,261,243,244,281,286
60871222015,404,427,488,410,362
60871222016,481,585,613,593,641
60871222017,297,281,212,249,327
60871222021,898,910,909,945,963
60871222031,1095,1040,979,960,1085
60871222032,650,688,756,813,698
60871223001,880,859,835,908,834
60871223002,429,437,436,459,497
60871223003,932,947,959,959,982
60871224001,880,750,805,824,880
60871224002,350,338,349,328,360
60871224003,541,484,412,414,511
60871224004,370,466,478,545,394
60871224005,253,280,340,313,252
60871224006,415,483,368,395,322
60871225001,274,259,251,323,327
60871225002,392,411,440,478,475
60871225003,563,534,537,486,433
60871225004,244,264,295,318,332
60871231001,411,432,436,452,482
60871231002,389,391,389,379,363
60871233001,449,459,468,479,482
60879901000,0,0,0,0,0