id,contract_rent
60871001001,1144
60871001002,1455
60871002001,
60871002002,1663
60871002003,1597
60871002004,1419
60871002005,1150
60871002006,1132
60871002007,2001
60871003001,1210
60871003002,1121
60871004001,
60871004002,
60871004003,1165
60871005001,2001
60871005002,1651
60871005003,1399
60871006001,1237
60871006002,1654
60871006003,1382
60871007001,1125
60871007002,863
60871008001,1203
60871008002,1672
60871008003,1103
60871008004,1094
60871008005,1113
60871008006,1373
60871009001,1391
60871009002,1128
60871009003,1434
60871009004,1530
60871009005,1335
60871010001,906
60871010002,1116
60871010003,1148
60871010004,716
60871010005,1917
60871010006,1348
60871010007,978
60871011001,1241
60871011002,1032
60871011003,1385
60871011004,1582
60871011005,2001
60871012001,991
60871012002,2001
60871012003,2001
60871101001,897
60871101002,769
60871101003,846
60871101004,1171
60871102001,675
60871102002,919
60871102003,1017
60871102004,720
60871102005,1573
60871103001,1037
60871103002,850
60871103003,1115
60871103004,725
60871104001,1009
60871104002,1012
60871104003,1069
60871104004,1017
60871105011,946
60871105012,941
60871105013,1409
60871105014,1083
60871105021,1520
60871105022,1078
60871105023,1652
60871106001,943
60871106002,
60871106003,1254
60871106004,662
60871106005,694
60871107001,1156
60871107002,1151
60871107003,542
60871202001,1228
60871202002,1140
60871203011,1071
60871203012,1206
60871203013,882
60871203021,823
60871203022,1250
60871203023,790
60871204001,1572
60871204002,1213
60871204003,1010
60871204004,1138
60871205001,490
60871205002,1717
60871205003,1025
60871205004,344
60871205005,1446
60871206001,1386
60871206002,974
60871206003,1283
60871206004,755
60871206005,1050
60871207001,1004
60871207002,950
60871207003,1301
60871208001,2001
60871208002,1404
60871208003,1081
60871209001,1263
60871209002,957
60871209003,1263
60871209004,1712
60871210001,987
60871210002,1093
60871210003,1327
60871211001,1087
60871211002,1294
60871212001,2001
60871212002,1822
60871212003,733
60871212004,649
60871212005,2001
60871213001,1100
60871213002,2001
60871213003,1741
60871213004,1344
60871214011,1031
60871214012,1370
60871214021,1296
60871214022,1233
60871214023,1193
60871214031,638
60871214032,1290
60871214033,1240
60871215001,982
60871215002,1488
60871215003,1460
60871215004,1277
60871215005,1162
60871216001,1290
60871216002,1383
60871216003,1439
60871216004,1687
60871216005,878
60871217001,1312
60871217002,416
60871217003,1567
60871217004,1376
60871217005,1146
60871217006,745
60871218001,1627
60871218002,1423
60871218003,1131
60871218004,1137
60871220011,1112
60871220012,859
60871220013,1307
60871220014,590
60871220015,1505
60871220021,872
60871220022,2001
60871220031,662
60871220032,1585
60871220033,1485
60871220034,1244
60871220035,1356
60871221001,997
60871221002,1156
60871221003,1240
60871222011,2001
60871222012,2001
60871222013,2001
60871222014,1023
60871222015,1203
60871222016,1056
60871222017,1356
60871222021,1930
60871222031,1688
60871222032,1646
60871223001,344
60871223002,1200
60871223003,880
60871224001,1282
60871224002,1200
60871224003,1120
60871224004,
60871224005,1201
60871224006,1160
60871225001,832
60871225002,1178
60871225003,1300
60871225004,1558
60871231001,1129
60871231002,1582
60871233001,805